status	family	pval	qval	tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	gene_status	level	gene_type	num_cells_expressed	use_for_ordering
OK	negbinomial	0.546578097559183	0.826039499297838	ENSMUSG00000000223.13	-	-	ENSMUSG00000000223.13	Drp2	-	chrX:134404550-134456573	-	24,20,21,22,23,1,3,2,5,4,7,6,9,8,11,10,13,12,15,14,17,16,19,18	processed_transcript,protein_coding,retained_intron	KNOWN	14	FALSE
OK	negbinomial	0.0198815192109171	0.160743189105117	ENSMUSG00000000247.11	-	-	ENSMUSG00000000247.11	Lhx2	-	chr2:38339280-38369733	-	1,3,2,5,4	retained_intron,protein_coding	KNOWN	7	FALSE
OK	negbinomial	0.0401085837577392	0.244424449011363	ENSMUSG00000000253.12	-	-	ENSMUSG00000000253.12	Gmpr	-	chr13:45507443-45546382	-	1,3,2,5,4,7,6,9,8	retained_intron,protein_coding	KNOWN	64	FALSE
OK	negbinomial	2.05836719481889e-05	0.00110166751088485	ENSMUSG00000000263.15	-	-	ENSMUSG00000000263.15	Glra1	-	chr11:55514237-55608198	-	1,3,2,5,4,7,6,9,8	protein_coding	KNOWN	6	FALSE
OK	negbinomial	0.973670328733064	0.991311402757156	ENSMUSG00000000266.11	-	-	ENSMUSG00000000266.11	Mid2	-	chrX:140664598-140767715	-	10,1,3,2,5,4,7,6,9,8	retained_intron,protein_coding	KNOWN	12	FALSE
OK	negbinomial	0.4144354142718	0.740291991316909	ENSMUSG00000000276.11	-	-	ENSMUSG00000000276.11	Dgke	-	chr11:89035178-89069098	-	11,10,12,1,3,2,5,4,7,6,9,8	protein_coding	KNOWN	18	FALSE
OK	negbinomial	0.905312894761211	0.971711423872549	ENSMUSG00000000278.10	-	-	ENSMUSG00000000278.10	Scpep1	-	chr11:88905927-88955465	-	11,10,13,12,1,3,2,5,4,7,6,9,8	protein_coding	KNOWN	98	FALSE
OK	negbinomial	0.910060158061329	0.972153655727269	ENSMUSG00000000295.12	-	-	ENSMUSG00000000295.12	Hddc2	-	chr10:31313381-31328204	-	1,3,2,5,4,6	retained_intron,protein_coding	KNOWN	102	FALSE
OK	negbinomial	0.337546898385182	0.680570408965585	ENSMUSG00000000296.7	-	-	ENSMUSG00000000296.7	Tpd52l1	-	chr10:31332379-31445921	-	1,3,2,5,4,7,6	protein_coding	KNOWN	81	FALSE
OK	negbinomial	0.0449186002438819	0.25920096008365	ENSMUSG00000000301.16	-	-	ENSMUSG00000000301.16	Pemt	-	chr11:59970613-60046489	-	1,3,2,5,4,7,6	processed_transcript,protein_coding	KNOWN	36	FALSE
OK	negbinomial	5.41129735814738e-06	0.000374410241018483	ENSMUSG00000000308.14	-	-	ENSMUSG00000000308.14	Ckmt1	-	chr2:121357713-121387168	-	10,1,3,2,5,4,7,6,9,8	retained_intron,protein_coding	KNOWN	137	FALSE
OK	negbinomial	0.92924058359328	0.979435964901292	ENSMUSG00000000325.15	-	-	ENSMUSG00000000325.15	Arvcf	-	chr16:18348181-18479073	-	11,10,13,12,15,14,17,16,19,18,20,1,3,2,5,4,7,6,9,8	processed_transcript,protein_coding,retained_intron	KNOWN	19	FALSE
OK	negbinomial	0.0599024232984116	0.305379369109134	ENSMUSG00000000326.12	-	-	ENSMUSG00000000326.12	Comt	-	chr16:18348181-18479073	-	1,3,2,5,4,6	protein_coding	KNOWN	123	FALSE
OK	negbinomial	0.205614456816062	0.547032341165619	ENSMUSG00000000339.14	-	-	ENSMUSG00000000339.14	Rtca	-	chr3:116488962-116508208	-	11,10,1,3,2,5,4,7,6,9,8	retained_intron,protein_coding	KNOWN	94	FALSE
OK	negbinomial	0.151810233262298	0.47722137979462	ENSMUSG00000000340.10	-	-	ENSMUSG00000000340.10	Dbt	-	chr3:116513069-116549981	-	11,10,1,3,2,5,4,7,6,9,8	retained_intron,protein_coding	KNOWN	12	FALSE
OK	negbinomial	0.220437374367919	0.562060450646681	ENSMUSG00000000346.8	-	-	ENSMUSG00000000346.8	Dazap2	-	chr15:100615627-100620731	-	1,3,2,4	protein_coding	KNOWN	106	TRUE
OK	negbinomial	0.0447665351186113	0.258704789029202	ENSMUSG00000000355.13	-	-	ENSMUSG00000000355.13	Mcts1	-	chrX:38600577-38613426	-	1,3,2,5,4,6	processed_transcript,protein_coding	KNOWN	114	FALSE
OK	negbinomial	0.00744386522948502	0.0881867312716684	ENSMUSG00000000378.15	-	-	ENSMUSG00000000378.15	Ccm2	-	chr11:6546886-6596744	-	10,1,3,2,5,4,7,6,9,8	processed_transcript,protein_coding,retained_intron	KNOWN	65	FALSE
OK	negbinomial	0.251523962757971	0.598281156504052	ENSMUSG00000000384.15	-	-	ENSMUSG00000000384.15	Tbrg4	-	chr11:6615598-6626067	-	11,10,13,12,1,3,2,5,4,7,6,9,8	retained_intron,protein_coding,processed_transcript	KNOWN	32	FALSE
OK	negbinomial	0.690913536560697	0.893033623123503	ENSMUSG00000000399.10	-	-	ENSMUSG00000000399.10	Ndufa9	-	chr6:126821720-126849136	-	11,10,1,3,2,5,4,7,6,9,8	retained_intron,protein_coding	KNOWN	134	FALSE
OK	negbinomial	0.417406407345752	0.743235378413591	ENSMUSG00000000409.14	-	-	ENSMUSG00000000409.14	Lck	-	chr4:129548343-129573641	-	11,10,13,12,1,3,2,5,4,7,6,9,8	retained_intron,protein_coding	KNOWN	16	FALSE
OK	negbinomial	0.619672768785396	0.864685379519312	ENSMUSG00000000416.16	-	-	ENSMUSG00000000416.16	Cttnbp2	-	chr6:18366477-18514843	-	20,21,22,23,1,3,2,5,4,7,6,9,8,11,10,13,12,15,14,17,16,19,18	protein_coding,retained_intron	KNOWN	16	FALSE
OK	negbinomial	0.844660766681709	0.951004281255556	ENSMUSG00000000420.15	-	-	ENSMUSG00000000420.15	Galnt1	-	chr18:24205343-24286818	-	11,10,13,12,1,3,2,5,4,7,6,9,8	processed_transcript,protein_coding	KNOWN	6	FALSE
OK	negbinomial	0.0519929433188339	0.284464887840699	ENSMUSG00000000439.9	-	-	ENSMUSG00000000439.9	Mkrn2	-	chr6:115601901-115676635	-	1,3,2,5,4,7,6,8	processed_transcript,protein_coding,retained_intron	KNOWN	19	FALSE
OK	negbinomial	0.202940540770858	0.543578425575612	ENSMUSG00000000441.17	-	-	ENSMUSG00000000441.17	Raf1	-	chr6:115601901-115676635	-	11,10,13,12,15,14,17,16,1,3,2,5,4,7,6,9,8	protein_coding,retained_intron	KNOWN	57	TRUE
OK	negbinomial	0.797334441442129	0.933553315304227	ENSMUSG00000000486.13	-	-	ENSMUSG00000000486.13	Sept1	-	chr7:127214446-127238179	-	11,10,1,3,2,5,4,7,6,9,8	protein_coding,retained_intron,processed_transcript	KNOWN	5	FALSE
OK	negbinomial	0.0286719917437261	0.202348865042358	ENSMUSG00000000538.18	-	-	ENSMUSG00000000538.18	Tom1l2	-	chr11:60226713-60352905	-	11,10,13,12,15,14,1,3,2,5,4,7,6,9,8	processed_transcript,protein_coding	KNOWN	88	FALSE
OK	negbinomial	0.0183520057384432	0.15332481097832	ENSMUSG00000000560.9	-	-	ENSMUSG00000000560.9	Gabra2	-	chr5:70957596-71095849	-	10,1,3,2,5,4,7,6,9,8	retained_intron,protein_coding,processed_transcript	KNOWN	123	FALSE
OK	negbinomial	0.297124396060659	0.640294301142872	ENSMUSG00000000561.14	-	-	ENSMUSG00000000561.14	Wdr77	-	chr3:105942697-105987423	-	10,1,3,2,5,4,7,6,9,8	retained_intron,protein_coding	KNOWN	89	FALSE
OK	negbinomial	0.184465068613458	0.517079236000236	ENSMUSG00000000563.17	-	-	ENSMUSG00000000563.17	Atp5f1	-	chr3:105942697-105987423	-	1,3,2,5,4,7,6,8	retained_intron,protein_coding	KNOWN	139	FALSE
OK	negbinomial	0.524873043159579	0.812530036682873	ENSMUSG00000000568.15	-	-	ENSMUSG00000000568.15	Hnrnpd	-	chr5:99955934-99978938	-	1,3,2,5,4,7,6,9,8	retained_intron,protein_coding	KNOWN	22	FALSE
OK	negbinomial	0.052197211476258	0.284816436655054	ENSMUSG00000000579.14	-	-	ENSMUSG00000000579.14	Dynlt1c	-	chr17:6601670-6609774	-	1,3,2,5,4	retained_intron,protein_coding	KNOWN	13	FALSE
OK	negbinomial	0.030812953195527	0.210911622608012	ENSMUSG00000000581.8	-	-	ENSMUSG00000000581.8	C1d	-	chr11:17257578-17269176	-	1,3,2,5,4	processed_transcript,protein_coding	KNOWN	124	FALSE
OK	negbinomial	0.116949825420534	0.425019488974946	ENSMUSG00000000594.7	-	-	ENSMUSG00000000594.7	Gm2a	-	chr11:55098114-55113029	-	1,3,2,4	protein_coding	KNOWN	14	FALSE
OK	negbinomial	0.37987451532729	0.7122163220606	ENSMUSG00000000600.15	-	-	ENSMUSG00000000600.15	Krit1	-	chr5:3803183-3866596	-	11,10,13,12,15,14,17,16,1,3,2,5,4,7,6,9,8	protein_coding,retained_intron	KNOWN	36	FALSE
OK	negbinomial	0.578567526720902	0.842946614278513	ENSMUSG00000000605.8	-	-	ENSMUSG00000000605.8	Clcn4	-	chr7:7282315-7299511	-	11,10,13,12,1,3,2,5,4,7,6,9,8	protein_coding	KNOWN	77	FALSE
OK	negbinomial	0.557756930569602	0.832542668157238	ENSMUSG00000000627.15	-	-	ENSMUSG00000000627.15	Sema4f	-	chr6:82911884-82939769	-	11,10,13,12,14,1,3,2,5,4,7,6,9,8	processed_transcript,protein_coding,retained_intron	KNOWN	32	FALSE
OK	negbinomial	0.272304552100264	0.617251972233516	ENSMUSG00000000631.19	-	-	ENSMUSG00000000631.19	Myo18a	-	chr11:77763245-77865980	-	42,24,25,26,27,20,21,22,23,28,29,40,41,1,3,2,5,4,7,6,9,8,39,38,11,10,13,12,15,14,17,16,19,18,31,30,37,36,35,34,33,32	retained_intron,protein_coding,processed_transcript	KNOWN	16	FALSE
OK	negbinomial	0.140256555199275	0.461262926971696	ENSMUSG00000000632.13	-	-	ENSMUSG00000000632.13	Sez6	-	chr11:77930799-77979048	-	11,10,13,12,15,14,17,16,1,3,2,5,4,7,6,9,8	retained_intron,protein_coding,processed_transcript	KNOWN	6	FALSE
OK	negbinomial	0.696002422517558	0.894948247715054	ENSMUSG00000000711.2	-	-	ENSMUSG00000000711.2	Rab5b	-	chr10:128677192-128696268	-	1,3,2,5,4,6	protein_coding	KNOWN	87	FALSE
OK	negbinomial	0.0772741731927617	0.345626919764107	ENSMUSG00000000730.13	-	-	ENSMUSG00000000730.13	Dnmt3l	-	chr10:78030021-78063622	-	11,10,13,12,14,1,3,2,5,4,7,6,9,8	processed_transcript,protein_coding,retained_intron	KNOWN	49	FALSE
OK	negbinomial	0.205713861008183	0.547153682090542	ENSMUSG00000000738.17	-	-	ENSMUSG00000000738.17	Spg7	-	chr8:119910359-124345724	-	11,10,13,12,15,14,17,16,1,3,2,5,4,7,6,9,8	retained_intron,protein_coding,processed_transcript	KNOWN	46	FALSE
OK	negbinomial	0.0174933817607719	0.147778393595358	ENSMUSG00000000740.11	-	-	ENSMUSG00000000740.11	Rpl13	-	chr8:119910359-124345724	-	1,3,2,5,4,6	retained_intron,protein_coding	KNOWN	146	FALSE
OK	negbinomial	0.427905621282159	0.750772481293918	ENSMUSG00000000743.8	-	-	ENSMUSG00000000743.8	Chmp1a	-	chr8:119910359-124345724	-	1,3,2,5,4,7,6	retained_intron,protein_coding	KNOWN	106	FALSE
OK	negbinomial	0.0553811462870079	0.291553643315299	ENSMUSG00000000751.13	-	-	ENSMUSG00000000751.13	Rpa1	-	chr11:75298165-75348324	-	11,10,13,12,15,14,17,16,18,1,3,2,5,4,7,6,9,8	processed_transcript,protein_coding,retained_intron	KNOWN	59	FALSE
OK	negbinomial	5.09823062965204e-06	0.000360097942598548	ENSMUSG00000000753.15	-	-	ENSMUSG00000000753.15	Serpinf1	-	chr11:75409768-75422701	-	1,3,2,5,4,7,6,8	retained_intron,protein_coding	KNOWN	76	TRUE
OK	negbinomial	0.760839064177831	0.922437132684701	ENSMUSG00000000759.14	-	-	ENSMUSG00000000759.14	Tubgcp3	-	chr8:12614276-12679229	-	20,21,22,1,3,2,5,4,7,6,9,8,11,10,13,12,15,14,17,16,19,18	retained_intron,protein_coding	KNOWN	46	FALSE
OK	negbinomial	0.368258524064893	0.70391983617065	ENSMUSG00000000776.12	-	-	ENSMUSG00000000776.12	Polr3d	-	chr14:70438747-70443471	-	1,3,2,5,4,7,6,9,8	protein_coding	KNOWN	31	FALSE
OK	negbinomial	0.140361547052991	0.461262926971696	ENSMUSG00000000787.12	-	-	ENSMUSG00000000787.12	Ddx3x	-	chrX:13280969-13294052	-	11,10,13,12,15,14,17,16,1,3,2,5,4,7,6,9,8	processed_transcript,protein_coding,retained_intron	KNOWN	52	FALSE
OK	negbinomial	0.0193544075740149	0.157671596828609	ENSMUSG00000000792.2	-	-	ENSMUSG00000000792.2	Slc5a5	-	chr8:70882888-70892757	-	11,10,13,12,15,14,1,3,2,5,4,7,6,9,8	protein_coding	KNOWN	30	FALSE
OK	negbinomial	0.000143543549430907	0.00514077972275266	ENSMUSG00000000794.9	-	-	ENSMUSG00000000794.9	Kcnn3	-	chr3:89520163-89675132	-	1,3,2,5,4,7,6,8	retained_intron,protein_coding	KNOWN	14	FALSE
OK	negbinomial	0.905246402102694	0.971711423872549	ENSMUSG00000000804.14	-	-	ENSMUSG00000000804.14	Usp32	-	chr11:84984441-85140161	-	24,25,26,27,20,21,22,23,28,29,1,3,2,5,4,7,6,9,8,11,10,13,12,15,14,17,16,19,18,31,30,34,33,32	retained_intron,protein_coding,processed_transcript	KNOWN	16	FALSE
OK	negbinomial	0.918411199888863	0.976078891709097	ENSMUSG00000000805.18	-	-	ENSMUSG00000000805.18	Car4	-	chr11:84957785-84966044	-	1,3,2,5,4,7,6,8	protein_coding,retained_intron,processed_transcript	KNOWN	6	TRUE
OK	negbinomial	0.536457078187813	0.819399310772559	ENSMUSG00000000811.13	-	-	ENSMUSG00000000811.13	Txnrd3	-	chr6:89643987-89675529	-	11,10,13,12,15,14,16,1,3,2,5,4,7,6,9,8	protein_coding	KNOWN	12	FALSE
OK	negbinomial	0.163342535182626	0.490944717890805	ENSMUSG00000000823.16	-	-	ENSMUSG00000000823.16	Znf512b	-	chr2:181569148-181655660	-	11,10,13,12,15,14,17,16,1,3,2,5,4,7,6,9,8	retained_intron,protein_coding,processed_transcript	KNOWN	15	TRUE
OK	negbinomial	0.694927784797307	0.894471083165453	ENSMUSG00000000826.16	-	-	ENSMUSG00000000826.16	Dnajc5	-	chr2:181520484-181555133	-	1,3,2,5,4,6	processed_transcript,protein_coding	KNOWN	127	FALSE
OK	negbinomial	0.0470195931156091	0.266278553217628	ENSMUSG00000000827.18	-	-	ENSMUSG00000000827.18	Tpd52l2	-	chr2:181497163-181517966	-	1,3,2,5,4,7,6,9,8	processed_transcript,protein_coding,retained_intron	KNOWN	115	FALSE
OK	negbinomial	0.289479000151951	0.633306776409944	ENSMUSG00000000838.17	-	-	ENSMUSG00000000838.17	Fmr1	-	chrX:68678540-68717963	-	11,10,13,12,15,14,17,16,1,3,2,5,4,7,6,9,8	processed_transcript,protein_coding,retained_intron	KNOWN	8	FALSE
OK	negbinomial	0.0133493297408317	0.127131116848313	ENSMUSG00000000861.15	-	-	ENSMUSG00000000861.15	Bcl11a	-	chr11:24078055-24174123	-	1,3,2,5,4	retained_intron,protein_coding,processed_transcript	KNOWN	12	FALSE
OK	negbinomial	0.214907173691741	0.557465152669904	ENSMUSG00000000884.16	-	-	ENSMUSG00000000884.16	Gnb1l	-	chr16:18498767-18566679	-	1,3,2,5,4,7,6,8	processed_transcript,protein_coding	KNOWN	7	FALSE
OK	negbinomial	0.091816471393392	0.377695153626514	ENSMUSG00000000902.13	-	-	ENSMUSG00000000902.13	Smarcb1	-	chr10:75896768-75921617	-	1,3,2,5,4,7,6,9,8	retained_intron,protein_coding	KNOWN	108	FALSE
OK	negbinomial	0.0299347072761423	0.207684793796482	ENSMUSG00000000916.15	-	-	ENSMUSG00000000916.15	Nsun5	-	chr5:135369952-135394546	-	10,1,3,2,5,4,7,6,9,8	processed_transcript,protein_coding,retained_intron	KNOWN	24	FALSE
OK	negbinomial	0.376882638182439	0.710391644357595	ENSMUSG00000000934.8	-	-	ENSMUSG00000000934.8	Top1mt	-	chr15:75657034-75678800	-	11,10,13,12,14,1,3,2,5,4,7,6,9,8	protein_coding	KNOWN	47	FALSE
OK	negbinomial	0.83339612237076	0.947982528442377	ENSMUSG00000000948.16	-	-	ENSMUSG00000000948.16	Gm38393	-	chr7:59976739-59980932	-	1,2	processed_transcript	KNOWN	6	FALSE
OK	negbinomial	0.291016421742395	0.634986279573072	ENSMUSG00000000959.6	-	-	ENSMUSG00000000959.6	Oxa1l	-	chr14:54360840-54417780	-	10,1,3,2,5,4,7,6,9,8	protein_coding,retained_intron	KNOWN	52	FALSE
OK	negbinomial	0.732698349050787	0.909522514028229	ENSMUSG00000000976.13	-	-	ENSMUSG00000000976.13	Heatr6	-	chr11:83753695-83783754	-	11,10,13,12,15,14,17,16,19,18,20,1,3,2,5,4,7,6,9,8	processed_transcript,protein_coding,retained_intron	KNOWN	7	FALSE
OK	negbinomial	0.567103638374117	0.837855868795534	ENSMUSG00000001016.12	-	-	ENSMUSG00000001016.12	Ilf2	-	chr3:90476125-90491033	-	11,10,13,12,14,1,3,2,5,4,7,6,9,8	protein_coding,retained_intron	KNOWN	103	FALSE
OK	negbinomial	0.206349881594397	0.547272382578541	ENSMUSG00000001017.15	-	-	ENSMUSG00000001017.15	Chtop	-	chr3:90498955-90509498	-	1,3,2,5,4,6	protein_coding	KNOWN	110	FALSE
OK	negbinomial	0.795962930585444	0.933333982820446	ENSMUSG00000001018.15	-	-	ENSMUSG00000001018.15	Snapin	-	chr3:90476125-90491033	-	1,3,2,4	protein_coding,retained_intron	KNOWN	125	FALSE
OK	negbinomial	0.108292172675405	0.41206123766612	ENSMUSG00000001025.8	-	-	ENSMUSG00000001025.8	S100a6	-	chr3:90612881-90614414	-	1,3,2	retained_intron,protein_coding	KNOWN	11	TRUE
OK	negbinomial	0.0149163622995753	0.13539769854966	ENSMUSG00000001029.15	-	-	ENSMUSG00000001029.15	Icam2	-	chr11:106377655-106388075	-	1,3,2,4	retained_intron,protein_coding	KNOWN	59	FALSE
OK	negbinomial	0.00528802657043404	0.0690430272758467	ENSMUSG00000001034.17	-	-	ENSMUSG00000001034.17	Mapk7	-	chr11:61485430-61494406	-	1,3,2,5,4,7,6	processed_transcript,protein_coding	KNOWN	24	FALSE
OK	negbinomial	0.600869091703129	0.855225235336206	ENSMUSG00000001036.17	-	-	ENSMUSG00000001036.17	Epn2	-	chr11:61517248-61579687	-	11,10,1,3,2,5,4,7,6,9,8	retained_intron,protein_coding,processed_transcript	KNOWN	45	TRUE
OK	negbinomial	0.152635990630471	0.478121546258862	ENSMUSG00000001039.12	-	-	ENSMUSG00000001039.12	B9d1	-	chr11:61505143-61512931	-	1,3,2,5,4,7,6	processed_transcript,protein_coding	KNOWN	72	FALSE
OK	negbinomial	0.576204882567023	0.841915783101775	ENSMUSG00000001052.15	-	-	ENSMUSG00000001052.15	Sec24b	-	chr3:129982758-130061553	-	24,20,21,22,23,1,3,2,5,4,7,6,9,8,11,10,13,12,15,14,17,16,19,18	retained_intron,protein_coding,processed_transcript	KNOWN	71	FALSE
OK	negbinomial	0.752695543116943	0.917945607798852	ENSMUSG00000001054.9	-	-	ENSMUSG00000001054.9	Rmnd5b	-	chr11:51619734-51635896	-	10,1,3,2,5,4,7,6,9,8	processed_transcript,protein_coding	KNOWN	66	FALSE
OK	negbinomial	0.0158189564062596	0.139835132142279	ENSMUSG00000001056.3	-	-	ENSMUSG00000001056.3	Nhp2	-	chr11:51619734-51635896	-	1,3,2,4	retained_intron,protein_coding	KNOWN	54	FALSE
OK	negbinomial	0.413546355743643	0.739731551360269	ENSMUSG00000001062.17	-	-	ENSMUSG00000001062.17	Vps9d1	-	chr8:119910359-124345724	-	11,10,13,12,15,14,1,3,2,5,4,7,6,9,8	retained_intron,protein_coding,processed_transcript	KNOWN	32	FALSE
OK	negbinomial	0.226610957890336	0.569523116556118	ENSMUSG00000001065.14	-	-	ENSMUSG00000001065.14	Zfp276	-	chr8:119910359-124345724	-	11,10,1,3,2,5,4,7,6,9,8	retained_intron,protein_coding	KNOWN	13	FALSE
OK	negbinomial	0.475241008089003	0.782148267519944	ENSMUSG00000001082.12	-	-	ENSMUSG00000001082.12	Mfsd10	-	chr5:34633641-34637212	-	11,10,13,12,1,3,2,5,4,7,6,9,8	retained_intron,protein_coding,processed_transcript	KNOWN	72	FALSE
OK	negbinomial	0.495834180703498	0.793693649974076	ENSMUSG00000001089.14	-	-	ENSMUSG00000001089.14	Luzp1	-	chr4:136469760-136602723	-	1,3,2,5,4	retained_intron,protein_coding	KNOWN	29	FALSE
OK	negbinomial	0.220045562538765	0.561834761929392	ENSMUSG00000001098.15	-	-	ENSMUSG00000001098.15	Kctd10	-	chr5:114289165-114380508	-	1,3,2,5,4,7,6	processed_transcript,protein_coding,retained_intron	KNOWN	43	FALSE
OK	negbinomial	0.0729376292815253	0.336314565113824	ENSMUSG00000001100.10	-	-	ENSMUSG00000001100.10	Poldip2	-	chr11:78512192-78522736	-	11,10,1,3,2,5,4,7,6,9,8	processed_transcript,protein_coding,retained_intron	KNOWN	87	FALSE
OK	negbinomial	0.39782720119045	0.727751881889941	ENSMUSG00000001105.15	-	-	ENSMUSG00000001105.15	Ift20	-	chr11:78536360-78541737	-	1,3,2,5,4,6	retained_intron,protein_coding	KNOWN	95	FALSE
